id,contributor,province,city,suburb,name,address,phone
,Zhiyuan Chen,湖北省,十堰市,房县,房县中医医院,,0719-3243120
,Zhiyuan Chen,湖北省,十堰市,房县,房县妇幼保健院,,0719-3224484
,Zhiyuan Chen,湖北省,十堰市,宜昌市中心城区,宜昌市中心人民医院,,0717-6485586
,Zhiyuan Chen,湖北省,十堰市,宜昌市中心城区,宜昌市第一人民医院,,0717-6222800
,Zhiyuan Chen,湖北省,十堰市,宜昌市中心城区,宜昌市第二人民医院,,0717-6740254
,Zhiyuan Chen,湖北省,十堰市,宜昌市中心城区,三峡大学附属仁和医院,,0717-6551228
,Zhiyuan Chen,湖北省,十堰市,宜昌市中心城区,国药葛洲坝中心医院,,0717-6728011
,Zhiyuan Chen,湖北省,十堰市,宜昌市中心城区,宜昌市第三人民医院,,0717-6487475
,Zhiyuan Chen,湖北省,十堰市,点军区,宜昌市中心人民医院江南院区,,0717-6671015
,Zhiyuan Chen,湖北省,十堰市,猇亭区,宜昌市第五人民医院,,0717-6598986
,Zhiyuan Chen,湖北省,十堰市,夷陵区,宜昌市夷陵医院,,0717-7827932
,Zhiyuan Chen,湖北省,十堰市,宜都市,宜都市第一人民医院,,0717-4843103
,Zhiyuan Chen,湖北省,十堰市,宜都市,宜都市第二人民医院,,0717-4665299
,Zhiyuan Chen,湖北省,十堰市,枝江市,枝江市人民医院,,0717-4505409
,Zhiyuan Chen,湖北省,十堰市,当阳市,当阳市人民医院,,0717-3232735
,Zhiyuan Chen,湖北省,十堰市,秭归县,秭归县人民医院,,0717-2880329
,Zhiyuan Chen,湖北省,十堰市,兴山县,兴山县人民医院,,0717-2192193
,Zhiyuan Chen,湖北省,十堰市,远安县,远安县人民医院,,0717-3811359
,Zhiyuan Chen,湖北省,十堰市,长阳县,长阳县人民医院,,0717-3522766
,Zhiyuan Chen,湖北省,十堰市,五峰县,五峰县人民医院,,0717-5756060
,Zhiyuan Chen,湖北省,十堰市,五峰县,五峰县第二人民医院,,0717-5822931
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄阳市中心医院,,0710-3511150
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄阳执业技术学院附属医院,,7103443849
,Zhiyuan Chen,湖北省,襄阳市,襄城区,航空工业襄阳医院,,0710-3394260
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄阳华健医院,,0710-3513117
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄城区欧庙镇中心卫生院,,0710-3272532
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄城区新集卫生院,,0710-3517051
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄城区尹集乡卫生院,,0710-3602734
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄城区法龙卫生院,,7103505010
,Zhiyuan Chen,湖北省,襄阳市,襄城区,襄城区卧龙镇中心卫生院,,0710-3807725
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳五洲医院,,0710-3807780
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳市第五人民医院,,0710-2210168
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳市第一人民医院,,0710-3420098
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳市中医医院,,0710-3456699
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳市妇幼保健院,,0710-3513117
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳市传染病医院,,0710-3709598
,Zhiyuan Chen,湖北省,襄阳市,樊城区,襄阳市结核病防治院,,0710-3420402
,Zhiyuan Chen,湖北省,襄阳市,高新区,襄阳市中西医结合医院,,0710-3392860
,Zhiyuan Chen,湖北省,襄阳市,东津新区,襄阳东津新区东津镇中心卫生院,,18727153298
,Zhiyuan Chen,湖北省,襄阳市,东津新区,襄阳东津新区东津镇王河卫生院,,0710-2987908
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市第一人民医院,,0710-622245
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市中医院,,0710-6311349
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市妇幼保健院,,0710-3466120-8061
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市第二人民医院,,0710-6226583
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市第三人民医院,,0710-6322815
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市泰康医院,,0710-6194752
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市南城卫生院,,0710-6811332
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市鹿头镇中心卫生院,,0710-6611236
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市鹿头镇吉河卫生院,,0710-6241600
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市新市镇中心卫生院,,0710-6328113
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市新市镇钱岗卫生院,,7106194752
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市太平镇中心卫生院,,0710-6888120
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市太平镇姚岗卫生院,,7106611236
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市杨垱镇中心卫生院,,0710-6545268
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市杨垱镇徐寨卫生院,,0710-6631323
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市七方镇中心卫生院,,0710-6681123
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市七方镇罗岗卫生院,,0710-6194866
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市琚湾镇中心卫生院,,0710-6846613
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市琚湾镇蔡阳卫生院,,0710-6545268
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市熊集镇中心卫生院,,0710-6799120
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市熊集镇耿集卫生院,,0710-6881909
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市吴店镇中心卫生院,,0710-6726339
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市平林镇卫生院,,0710-6846613
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市王城镇卫生院,,0710-6162311
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市兴隆镇中心卫生院,,0710-6799120
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市刘升镇卫生院,,0710-7184120
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳随阳农场卫生院,,0710-6659068
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市吴店镇清潭卫生院,,0710-6726339
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳市车河农场卫生院,,0710-6753074
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳泰兴医院,,0710-6161810
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳骨科医院,,0710-6694142
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳爱尔眼科医院,,0710-6221558
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳慈惠疼痛医院,,18972228288
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳经济开发区医院,,0710-6753074
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳北关医院,,0710-6821111
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳立康医院,,0710-6329830
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳民生医院,,0710-6224120
,Zhiyuan Chen,湖北省,襄阳市,枣阳市,枣阳厚德康复医院,,0710-6666120
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市人民医院,,0710-6219713
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市中医医院,,0710-6821111
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市妇幼保健院,,0710-6667515
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市南营街道办事处卫生院,,0710-624120
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市雷河镇卫生院,,13635801000
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市孔湾镇卫生院,,0710-4656597
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市华光卫生院,,0710-4630440
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市刘猴镇中心卫生院,,0710-4612405
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市流水镇卫生院,,0710-4888120
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市王集镇中心卫生院,,0710-4855487
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市小河镇中心卫生院,,0710-4656597
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市鄢城街道办事处卫生院,,0710-4630451
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市郑集镇中心卫生院,,0710-4612405
,Zhiyuan Chen,湖北省,襄阳市,宜城市,宜城市板桥镇中心卫生院,,0710-4784567
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县人民医院,,0710-5231476
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县中医医院,,0710-4323666
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县第二人民医院,,0710-4282372
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县长坪镇卫生院,,0710-5631037
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县肖堰镇中心卫生院,,0710-5483562
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县巡检镇中心卫生院,,0710-5431537
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县清河管理区卫生院,,0710-5237831
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县武安镇刘集卫生院,,0710-5374398
,Zhiyuan Chen,湖北省,襄阳市,南漳县,南漳县薛坪镇中心卫生院,,0710-5611037
,Zhiyuan Chen,湖北省,襄阳市,保康县,保康县人民医院,,0710-5812456
,Zhiyuan Chen,湖北省,襄阳市,保康县,保康县中医医院,,0710-5813280
,Zhiyuan Chen,湖北省,襄阳市,保康县,保康县妇幼保健院,,0710-5311198
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县人民医院,,0710-7232158
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县中医院,,0710-7233508
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县妇幼保健院,,0710-7233049
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县第二人民医院,,0710-7616368
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县盛康中心卫生院,,0710-7811105
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县冷集中心卫生院,,0710-7512777
,Zhiyuan Chen,湖北省,襄阳市,谷城县,谷城县庙滩中心卫生院,,0710-7861102
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市第一医院,,0710-7523120
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市中医医院,,0710-7616370
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市妇幼保健院,,0710-7811105
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市第一医院江山分院,,0710-7511067
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市第二医院,,15897980197
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市薛集中心卫生院,,0710-8671050
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市仙人渡中心卫生院,,0710-8309101
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市张集中心卫生院,,0710-8711120
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市洪山嘴卫生院,,0710-8512539
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市竹林桥卫生院,,0710-8222616
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市李楼卫生院,,0710-8252995
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市红十字会医院,,0710-8771335
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市孟楼中心卫生院,,0710-8601202
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市光化社区卫生服务中心,,0710-8361763
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市小东门社区卫生服务中心,,0710-8235880
,Zhiyuan Chen,湖北省,襄阳市,老河口市,老河口市袁冲卫生院,,0710-8252995
,Zhiyuan Chen,湖北省,襄阳市,襄州区,襄州区人民医院,,2552058
,Zhiyuan Chen,湖北省,襄阳市,襄州区,襄州区惠民医院,,15997299638
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂州市中心医院,,0711-3257534
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂州市中医医院,,0711-3867916
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂州市第三医院,,17707116586
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂州市妇幼保健院,,0711-5032263
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂钢医院,,027-53083120
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂州二医院,,13995810866
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,古楼街道飞鹅社区服务中心,,18696251969
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,古楼街道怡亭铭社区卫生服务中心,,13972964299
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,凤凰街道社区卫生服务中心,,15826991111
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,西山街道社区卫生服务中心,,13871811966
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区花湖镇卫生院,,18771916352
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区碧石镇卫生院,,13451003977
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区泽林镇卫生院,,13886336893
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区杜山镇卫生院,,13476455411
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区杨叶镇卫生院,,13995808660
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区沙窝乡卫生院,,15172703880
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区新庙镇卫生院,,13387553789
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区汀祖镇中心卫生院,,13995817590
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区长港镇中心卫生院,,13908683978
,Zhiyuan Chen,湖北省,鄂州市,鄂城区,鄂城区燕矶镇中心卫生院,,15871504742
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区人民医院,,13871834843
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区华容中心卫生院,,13986407878
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区段店卫生院,,15972303366
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区泥矶卫生院,,0711-3751259
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区临江卫生院,,13886309373
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区胡林卫生院,,13995839168
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区蒲团卫生院,,13986420373
,Zhiyuan Chen,湖北省,鄂州市,华容区,华容区庙岭卫生院,,13971995639
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区涂家垴镇卫生院,,13545403656
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区涂家垴镇公友卫生院,,13545401736
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区太和镇中心卫生院,,13986401956
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区沼山镇卫生院,,13886326270
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区梁子镇卫生院,,13886346269
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区东沟镇卫生院,,13995813572
,Zhiyuan Chen,湖北省,鄂州市,梁子湖区,梁子湖区梁子岛卫生院,,13995811258
,Zhiyuan Chen,湖北省,鄂州市,葛店开发区,葛店开发区葛店卫生院,,15972312372
,Zhiyuan Chen,湖北省,鄂州市,葛店开发区,葛店开发区大湾社区卫生服务中心,,13971991925
,Zhiyuan Chen,湖北省,荆门市,东宝区,荆门市第二人民医院,,0724-6905076
,Zhiyuan Chen,湖北省,荆门市,东宝区,荆门市康复医院,,13451199066
,Zhiyuan Chen,湖北省,荆门市,掇刀区,荆门市第一人民医院,,0724-2305703
,Zhiyuan Chen,湖北省,荆门市,掇刀区,荆门市中医医院,,0724-2278004
,Zhiyuan Chen,湖北省,荆门市,掇刀区,掇刀人民医院,,0724-6045995
,Zhiyuan Chen,湖北省,荆门市,漳河新区,荆门市第一人民医院,,0724-2305703
,Zhiyuan Chen,湖北省,荆门市,京山市,京山市人民医院,,0724-7337254
,Zhiyuan Chen,湖北省,荆门市,京山市,京山市中医院,,0724-7426999
,Zhiyuan Chen,湖北省,荆门市,京山市,京山仁和医院,,13797977121
,Zhiyuan Chen,湖北省,荆门市,钟祥市,钟祥市人民医院,,0724-4223634
,Zhiyuan Chen,湖北省,荆门市,钟祥市,钟祥市中医医院,,0724-4230120
,Zhiyuan Chen,湖北省,荆门市,沙洋县,沙洋县人民医院,,0724-8513719
,Zhiyuan Chen,湖北省,荆门市,沙洋县,沙洋县中医医院,,0724-8598116
,Zhiyuan Chen,湖北省,荆门市,屈家岭管理区,荆门五三医院,,13774031428
,Zhiyuan Chen,湖北省,孝感市,市直,孝感市中心医院,,0712-2348719
,Zhiyuan Chen,湖北省,孝感市,市直,孝感市妇幼保健院?,,15871269906
,Zhiyuan Chen,湖北省,孝感市,市直,孝感市康复医院,,0712-2366875
,Zhiyuan Chen,湖北省,孝感市,市直,湖北航天医院,,0712-2357017
,Zhiyuan Chen,湖北省,孝感市,市直,孝感市结核病防治所,,0712-2323036转8683
,Zhiyuan Chen,湖北省,孝感市,市直,孝感市惠民医院,,0712-2832621
,Zhiyuan Chen,湖北省,孝感市,孝南区,孝感市第一人民医院,,0712-2349170
,Zhiyuan Chen,湖北省,孝感市,孝南区,孝感市中医医院,,0712-2822767
,Zhiyuan Chen,湖北省,孝感市,孝南区,孝南区妇幼保健院,,0712-2822258
