id,contributor,province,city,suburb,name,address
,Zhiyuan Chen,北京市,海淀区,海淀区,清华大学医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,首都医科大学附属北京世纪坛医院,
,Zhiyuan Chen,北京市,海淀区,海淀区,中国中医科学院西苑医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京朝阳急诊抢救中心,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京和睦家医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京华信医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京市朝阳区双桥医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京市朝阳区中医医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京市垂杨柳医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,北京市第一中西医结合医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,航空总医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,民航总医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,首都医科大学附属北京安贞医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,首都医科大学附属北京朝阳医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,首都医科大学附属北京地坛医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,应急管理部应急总医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,中国中医科学院望京医院,
,Zhiyuan Chen,北京市,朝阳区,朝阳区,中日友好医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,北京博爱医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,北京丰台医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,北京航天总医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,北京市丰台区南苑医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,北京市丰台区铁营医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,北京市丰台中西医结合医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,国家电网公司北京电力医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,首都医科大学附属北京天坛医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,首都医科大学附属北京佑安医院,
,Zhiyuan Chen,北京市,丰台区,丰台区,中国航天科工集团七三一医院,
,Zhiyuan Chen,北京市,房山区,房山区,北京市房山区第一医院,
,Zhiyuan Chen,北京市,房山区,房山区,北京市房山区良乡医院,
,Zhiyuan Chen,北京市,房山区,房山区,北京市房山区中医医院,
,Zhiyuan Chen,北京市,房山区,房山区,北京燕化医院,
,Zhiyuan Chen,北京市,房山区,房山区,中国核工业北京四〇一医院,
,Zhiyuan Chen,北京市,通州区,通州区,首都医科大学附属北京潞河医院,
,Zhiyuan Chen,北京市,通州区,通州区,首都医科大学附属北京胸科医院,
,Zhiyuan Chen,北京市,通州区,通州区,首都医科大学附属北京友谊医院通州院区,
,Zhiyuan Chen,北京市,顺义区,顺义区,北京市顺义区妇幼保健院,
,Zhiyuan Chen,北京市,顺义区,顺义区,北京市顺义区空港医院,
,Zhiyuan Chen,北京市,顺义区,顺义区,北京市顺义区医院,
,Zhiyuan Chen,北京市,顺义区,顺义区,北京市顺义区中医医院,
,Zhiyuan Chen,北京市,大兴区,大兴区,北京市大兴区人民医院,
,Zhiyuan Chen,北京市,大兴区,大兴区,北京市大兴区中西医结合医院,
,Zhiyuan Chen,北京市,大兴区,大兴区,北京市仁和医院,
,Zhiyuan Chen,北京市,大兴区,大兴区,首都医科大学附属北京同仁医院（南区）,
,Zhiyuan Chen,北京市,大兴区,大兴区,中国中医科学院广安门医院（南区）,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京大卫中医医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京大学国际医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京积水潭医院（回龙观院区）,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京京都儿童医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京清华长庚医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京市昌平区南口医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京市昌平区沙河医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京市昌平区医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京市昌平区中西医结合医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京市昌平区中医医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京王府中西医结合医院,
,Zhiyuan Chen,北京市,昌平区,昌平区,北京小汤山医院,
,Zhiyuan Chen,北京市,平谷区,平谷区,北京市平谷区妇幼保健院,
,Zhiyuan Chen,北京市,平谷区,平谷区,北京市平谷区医院,
,Zhiyuan Chen,北京市,平谷区,平谷区,北京市平谷区中医医院,
,Zhiyuan Chen,北京市,石景山区,石景山区,北京大学首钢医院,
,Zhiyuan Chen,北京市,石景山区,石景山区,北京市石景山医院,
,Zhiyuan Chen,北京市,石景山区,石景山区,清华大学玉泉医院,
,Zhiyuan Chen,北京市,石景山区,石景山区,首都医科大学附属北京朝阳医院（京西院区）,
,Zhiyuan Chen,北京市,怀柔区,怀柔区,北京怀柔医院,
,Zhiyuan Chen,北京市,怀柔区,怀柔区,北京市怀柔区第二医院,
,Zhiyuan Chen,北京市,怀柔区,怀柔区,北京市怀柔区中医医院,
,Zhiyuan Chen,北京市,门头沟区,门头沟区,北京京煤集团总医院,
,Zhiyuan Chen,北京市,门头沟区,门头沟区,北京市门头沟区医院,
,Zhiyuan Chen,北京市,门头沟区,门头沟区,北京市门头沟区中医医院,
,Zhiyuan Chen,北京市,密云县,密云县,北京市密云区妇幼保健院,
,Zhiyuan Chen,北京市,密云县,密云县,北京市密云区医院,
,Zhiyuan Chen,北京市,密云县,密云县,北京市密云区中医医院,
,Zhiyuan Chen,北京市,密云县,密云县,北京市延庆区医院,
