id,contributor,province,city,suburb,name,address
,Zhiyuan Chen,上海市,浦东新区,浦东新区,浦东新区浦南医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海市第六人民医院东院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海中医药大学附属曙光医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海交通大学医学院附属仁济医院,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,上海交通大学医学院附属上海儿童医学中心,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,祝桥社区卫生服务中心,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,机场社区卫生服务中心,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,三林社区卫生服务中心,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,航头社区卫生服务中心,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,泥城社区卫生服务中心,
,Zhiyuan Chen,上海市,浦东新区,浦东新区,大团社区卫生服务中心,
,Zhiyuan Chen,上海市,闵行区,闵行区,上海交通大学医学院附属仁济医院南院,
,Zhiyuan Chen,上海市,闵行区,闵行区,复旦大学附属儿科医院,
,Zhiyuan Chen,上海市,闵行区,闵行区,上海市第五人民医院,
,Zhiyuan Chen,上海市,闵行区,闵行区,闵行区中心医院,
,Zhiyuan Chen,上海市,闵行区,闵行区,闵行区中西医结合医院,
,Zhiyuan Chen,上海市,闵行区,闵行区,华漕社区卫生服务中心,
,Zhiyuan Chen,上海市,闵行区,闵行区,七宝社区卫生服务中心,
,Zhiyuan Chen,上海市,闵行区,闵行区,浦江社区卫生服务中心,
,Zhiyuan Chen,上海市,宝山区,宝山区,复旦大学附属华山医院北院,
,Zhiyuan Chen,上海市,宝山区,宝山区,上海交通大学医学院附属第九人民医院北部,
,Zhiyuan Chen,上海市,宝山区,宝山区,宝山区中西医结合医院,
,Zhiyuan Chen,上海市,宝山区,宝山区,上海市第一人民医院宝山分院,
,Zhiyuan Chen,上海市,宝山区,宝山区,宝山区仁和医院,
,Zhiyuan Chen,上海市,宝山区,宝山区,宝山区大场医院,
,Zhiyuan Chen,上海市,宝山区,宝山区,宝山区罗店医院,
,Zhiyuan Chen,上海市,宝山区,宝山区,上海中冶医院,
,Zhiyuan Chen,上海市,宝山区,宝山区,罗泾镇社区卫生服务中心,
,Zhiyuan Chen,上海市,松江区,松江区,上海市第一人民医院（南部）,
,Zhiyuan Chen,上海市,松江区,松江区,松江区中心医院,
,Zhiyuan Chen,上海市,松江区,松江区,松江区泗泾医院,
,Zhiyuan Chen,上海市,松江区,松江区,松江区方塔中医医院,
,Zhiyuan Chen,上海市,嘉定区,嘉定区,上海交通大学医学院附属瑞金医院北院,
,Zhiyuan Chen,上海市,嘉定区,嘉定区,嘉定区中心医院,
,Zhiyuan Chen,上海市,嘉定区,嘉定区,嘉定区安亭医院,
,Zhiyuan Chen,上海市,嘉定区,嘉定区,嘉定区南翔医院,
,Zhiyuan Chen,上海市,青浦区,青浦区,金泽镇社区卫生服务中心,
,Zhiyuan Chen,上海市,青浦区,青浦区,练塘镇社区卫生服务中心,
,Zhiyuan Chen,上海市,青浦区,青浦区,华新镇社区卫生服务中心,
,Zhiyuan Chen,上海市,青浦区,青浦区,香花桥街道社区卫生服务中心,
,Zhiyuan Chen,上海市,青浦区,青浦区,青浦区朱家角人民医院,
,Zhiyuan Chen,上海市,青浦区,青浦区,复旦大学附属中山医院青浦分院,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,奉贤区中心医院,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,奉贤区奉城医院,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,海旅社区卫生服务中心（精卫中心）,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,奉浦街道社区卫生服务中心,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,庄行镇社区卫生服务中心,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,泰日社区卫生服务中心,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,四团镇社区卫生服务中心,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,青村镇社区卫生服务中心,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,奉城镇社区卫生服务中心,
,Zhiyuan Chen,上海市,奉贤区,奉贤区,海湾镇社区卫生服务中心,
,Zhiyuan Chen,上海市,金山区,金山区,上海市公共卫生临床中心,
,Zhiyuan Chen,上海市,金山区,金山区,复旦大学附属金山医院,
,Zhiyuan Chen,上海市,金山区,金山区,上海市第六人民医院金山分院,
,Zhiyuan Chen,上海市,金山区,金山区,金山区中西医结合医院,
,Zhiyuan Chen,上海市,金山区,金山区,金山区亭林医院,
,Zhiyuan Chen,上海市,崇明区,崇明区,上海交通大学医学院附属新华医院崇明分院,
,Zhiyuan Chen,上海市,崇明区,崇明区,上海市第十人民医院崇明分院,
,Zhiyuan Chen,上海市,崇明区,崇明区,上海市崇明区第三人民医院,
,Zhiyuan Chen,上海市,崇明区,崇明区,长兴镇社区卫生服务中心,
,Zhiyuan Chen,上海市,崇明区,崇明区,横沙乡社区卫生服务中心,
,Zhiyuan Chen,上海市,崇明区,崇明区,东平镇社区卫生服务中心,
,Zhiyuan Chen,上海市,崇明区,崇明区,新海镇社区卫生服务中心,
,Zhiyuan Chen,上海市,崇明区,崇明区,三星镇社区卫生服务中心,
,Zhiyuan Chen,上海市,崇明区,崇明区,新河镇社区卫生服务中心,
,Zhiyuan Chen,上海市,崇明区,崇明区,中兴镇社区卫生服务中心,
