id,contributor,province,city,suburb,name,address,phone
,Yuchen Zheng,湖南省,永州市,零陵区,永州市第一人民医院,永州市零陵区南津北路与黄盖路交叉口南100米,
,Yuchen Zheng,湖南省,永州市,祁阳县,祁阳县人民医院,永州市祁阳县浯溪镇民生路118号,
,Yuchen Zheng,湖南省,永州市,东安县,东安县人民医院,永州市东安县建设大道478号,
,Yuchen Zheng,湖南省,永州市,双牌县,双牌县人民医院,永州市双牌县207国道,
,Yuchen Zheng,湖南省,永州市,道县,道县人民医院,永州市道县道江镇道州中路1号,
,Yuchen Zheng,湖南省,永州市,江永县,江永县人民医院,永州市江永县知青路38号,
,Yuchen Zheng,湖南省,永州市,宁远县,宁远县人民医院,永州市宁远县重华北路1号,
,Yuchen Zheng,湖南省,永州市,蓝山县,蓝山县中心医院,永州市蓝山县塔峰镇塔峰路32号,
,Yuchen Zheng,湖南省,永州市,新田县,新田县人民医院,永州市新田县龙泉镇新华西路39号,
,Yuchen Zheng,湖南省,永州市,江华县,江华县人民医院,永州市江华瑶族自治县沱江镇苍松路2号,
,Yuchen Zheng,湖南省,怀化市,鹤城区,南华大学附属怀化市第一人民医院,怀化市鹤城区锦溪南路144号,
,Yuchen Zheng,湖南省,怀化市,鹤城区,湖南医药学院第一附属医院,怀化市鹤城区榆市路231号,
,Yuchen Zheng,湖南省,怀化市,中方县,中方县人民医院,怀化市中方县中方镇南湖中路399号,
,Yuchen Zheng,湖南省,怀化市,洪江市,洪江市人民医院,怀化市洪江市裕湘路,
,Yuchen Zheng,湖南省,怀化市,洪江区,洪江中医院,怀化市洪江市河滨路街道南岳路,
,Yuchen Zheng,湖南省,怀化市,会同县,会同县人民医院,怀化市会同县林城镇林城镇改河街194号,
,Yuchen Zheng,湖南省,怀化市,靖州县,靖州人民医院,怀化市靖州苗族侗族自治县新建北路与鹤山路交叉口北100米,
,Yuchen Zheng,湖南省,怀化市,通道县,通道侗族自治县第一人民医院,怀化市通道侗族自治县双江镇行政街4号,
,Yuchen Zheng,湖南省,怀化市,芷江县,芷江侗族自治县人民医院,怀化市芷江侗族自治县芷江镇,
,Yuchen Zheng,湖南省,怀化市,新晃县,新晃侗族自治县人民医院,怀化市新晃侗族自治县解放路21号,
,Yuchen Zheng,湖南省,怀化市,麻阳县,麻阳苗族自治县人民医院,怀化市麻阳苗族自治县富州北路东256号,
,Yuchen Zheng,湖南省,怀化市,溆浦县,溆浦县人民医院,怀化市溆浦县健康路与长兴路交叉口东北角,
,Yuchen Zheng,湖南省,怀化市,辰溪县,辰溪县人民医院,怀化市辰溪县辰阳镇双溪口街,
,Yuchen Zheng,湖南省,怀化市,沅陵县,沅陵县人民医院,怀化市沅陵县辰州东街,
,Yuchen Zheng,湖南省,娄底市,娄星区,娄底市中心医院,娄底市娄星区长青街51号,
,Yuchen Zheng,湖南省,娄底市,冷水江市,冷水江市人民医院,娄底市冷水江市锑都中路33号,
,Yuchen Zheng,湖南省,娄底市,涟源市,涟源市人民医院,娄底市涟源市交通路19号,
,Yuchen Zheng,湖南省,娄底市,双峰县,双峰县人民医院,娄底市双峰县永丰街道书院路238号,
,Yuchen Zheng,湖南省,娄底市,新化县,新化县人民医院,娄底市新化县上梅街道人民路,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,吉首市,湘西土家族苗族自治州人民医院,湘西土家族苗族自治州吉首市世纪大道与建新路交汇处,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,古丈县,古丈县人民医院,湘西土家族苗族自治州古丈县文苑路东50米,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,花垣县,花垣县人民医院,湘西土家族苗族自治州花垣县建设中路21号,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,凤凰县,凤凰县人民医院,湘西土家族苗族自治州凤凰县虹桥西路,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,龙山县,龙山县人民医院,湘西土家族苗族自治州龙山县民安街道办事处城北路30号,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,永顺县,永顺县人民医院,湘西土家族苗族自治州永顺县棚场街23号,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,保靖县,保靖县人民医院,湘西土家族苗族自治州保靖县迁陵镇北门路7号,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,泸溪县,泸溪县人民医院,湘西土家族苗族自治州泸溪县建设路113号,
,Yuchen Zheng,湖南省,湘西土家族苗族自治州,吉首市,吉首市人民医院,湘西土家族苗族自治州吉首市人民北路105号,
